statement ID,time,document ID,document type,text,mp,party,concept,agreement,category
480,2010-05-07,2,EoV,"Mir ist bewusst, dass es inzwischen unausweichlich ist, zur Sicherung der Währungsstabilität in Europa Griechenland zu helfen.","Aschenberg-Dugnus, Christine",FDP,Aid_Currency stabilisation,1,Policy
479,2010-05-07,2,EoV,"Die von der Bundesregierung nun eingeleiteten Maßnahmen sind alternativlos, um eine bevorstehende Kettenreaktion zu verhindern.","Aschenberg-Dugnus, Christine",FDP,Crisis_Contagion,1,Polity
2,2010-05-07,2,EoV,"Die von der Bundesregierung nun eingeleiteten Maßnahmen sind alternativlos, um eine bevorstehende Kettenreaktion zu verhindern.
","Aschenberg-Dugnus, Christine",FDP,Alternatives,0,Politics
482,2010-05-07,2,EoV,"Gleichwohl ist daran zu erinnern, dass zunächst jedes Land selbst für seine eigene Volkswirtschaft, den eigenen Staatshaushalt und somit die strenge Einhaltung der Stabilitätskriterien verantwortlich ist. Für die Mitglieder der Währungsunion ist jede nationale Verantwortung gleichzeitig eine gesamteuropäische Verantwortung.","Aschenberg-Dugnus, Christine",FDP,EMU_Self-responsibility,1,Polity
481,2010-05-07,2,EoV,"Die Zugehörigkeit zur Euro-Zone darf keinen Automatismus zu bedingungsloser Solidarität vonseiten der anderen Mitglieder bewirken. Zunächst muss jedes betroffene Land alle erdenklichen Maßnahmen zur Stabilisierung der eigenen Volkswirtschaft selbst ergreifen. Erst in Verbindung mit diesen kann es zur Unterstützung vonseiten der anderen Mitgliedstaaten kommen. Solidarität ist keine Einbahnstraße, sondern eine Verpflichtung auf Gegenseitigkeit.","Aschenberg-Dugnus, Christine",FDP,Solidarity_European,0,Polity
476,2010-05-07,2,EoV,Zunächst muss jedes betroffene Land alle erdenklichen Maßnahmen zur Stabilisierung der eigenen Volkswirtschaft selbst ergreifen. Erst in Verbindung mit diesen kann es zur Unterstützung vonseiten der anderen Mitgliedstaaten kommen.,"Aschenberg-Dugnus, Christine",FDP,Aid_Self-help,1,Policy
5522,2010-05-07,2,EoV,"Solidarität ist keine Einbahnstraße, sondern eine Verpflichtung auf Gegenseitigkeit.","Aschenberg-Dugnus, Christine",FDP,Solidarity_Mutual,1,Polity
478,2010-05-07,2,EoV,"Ein Unterlassen von möglichen Maßnahmen muss zur Sanktionierbarkeit durch die anderen Mitgliedstaaten führen können.

Griechenland ist ein Präzedenzfall, der schnell zu klaren Regeln und eindeutigen Sanktionsmechanismen führen muss.
","Aschenberg-Dugnus, Christine",FDP,EU_SGP_Sanctions,1,Policy
484,2010-05-07,3,EoV,Die Griechen haben jahrelang über ihre Verhältnisse gelebt.,"Bellmann, Veronika",CDU,Crisis causes_Living beyond their means,1,Politics
485,2010-05-07,3,EoV,"Zum Zeitpunkt der Aufnahme in die EU und die Währungsunion war Griechenland weder für die eine noch die andere Gemeinschaft beitrittsreif. Aber die “Euroromantiker” in Europa, unter anderem die der der rot-grünen Bundesregierung setzten sich über alle Bedenken und Vorbehalte hinweg.","Bellmann, Veronika",CDU,Responsibility_Greek EMU entry_Red-green,1,Politics
489,2010-05-07,3,EoV,"Zum Zeitpunkt der Aufnahme in die EU und die Währungsunion war Griechenland weder für die eine noch die andere Gemeinschaft beitrittsreif. Aber die “Euroromantiker” in Europa, unter anderem die der der rot-grünen Bundesregierung setzten sich über alle Bedenken und Vorbehalte hinweg.","Bellmann, Veronika",CDU,EMU_Greek entry,0,Polity
